[2026-08-16T05:03:44.324Z] GET http://localhost:3000/_next/static/chunks/src_1t2z_q7._.js → 200 (327ms, 343305B)
[2026-08-16T05:03:44.324Z] GET http://localhost:3000/_next/static/chunks/node_modules_0zrx-d5._.js → 200 (327ms, 868811B)
[2026-08-16T05:03:44.633Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (66ms, 15615B)
[2026-08-16T05:03:44.685Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-08-16T05:03:44.685Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-08-16T05:05:13.130Z] GET http://localhost:3000/_next/static/media/KaTeX_Math-Italic.32405s1aq8vas.woff2 → 200 (138ms, 16440B)
[2026-08-16T05:05:13.130Z] GET http://localhost:3000/_next/static/media/KaTeX_Size2-Regular.14s5gg-puz6h-.woff2 → 200 (156ms, 5208B)
[2026-08-16T05:05:13.130Z] GET http://localhost:3000/_next/static/media/KaTeX_Main-Regular.1ryvsdzh2w1_e.woff2 → 200 (144ms, 26272B)
[2026-08-16T05:05:44.184Z] GET http://localhost:3000/_next/static/media/KaTeX_Size1-Regular.03lhvx36ekcou.woff2 → 200 (33ms, 5468B)
[2026-08-16T05:13:42.415Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (350ms, 6519B)
[2026-08-16T05:13:42.770Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40tauri-apps_plugin-sql_dist-js_index_0uf9jlj.js → 200 (77ms, ?B)
[2026-08-16T05:13:42.770Z] GET http://localhost:3000/_next/static/chunks/src_0erdp9e._.js → 200 (78ms, ?B)
[2026-08-16T05:13:42.771Z] GET http://localhost:3000/_next/static/chunks/node_modules_1b3uuzb._.js → 200 (167ms, ?B)
[2026-08-16T05:13:43.026Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40tauri-apps_plugin-sql_dist-js_index_0uf9jlj.js → 304 (129ms, 621B)
[2026-08-16T05:13:43.028Z] GET http://localhost:3000/_next/static/chunks/src_0erdp9e._.js → 304 (116ms, ?B)
[2026-08-16T05:13:43.035Z] GET http://localhost:3000/_next/static/chunks/node_modules_1b3uuzb._.js → 304 (111ms, ?B)
[2026-08-16T05:21:41.366Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-16T05:21:44.439Z] GET http://localhost:3000/_next/static/chunks/node_modules_1w8b1ur._.js → 200 (22ms, ?B)
[2026-08-16T05:21:44.439Z] GET http://localhost:3000/_next/static/chunks/src_0-xic6u._.js → 200 (22ms, ?B)
[2026-08-16T05:21:44.439Z] GET http://localhost:3000/_next/static/chunks/node_modules_katex_dist_katex_mjs_1htj_sx._.js → 200 (30ms, ?B)
[2026-08-16T05:21:44.440Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40anthropic-ai_sdk_0srqnh1._.js → 200 (29ms, ?B)
[2026-08-16T05:21:44.440Z] GET http://localhost:3000/_next/static/chunks/node_modules_openai_1sbirqc._.js → 200 (22ms, ?B)
[2026-08-16T05:21:44.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_0dw0t8x._.js → 200 (21ms, ?B)
[2026-08-16T05:21:44.486Z] GET http://localhost:3000/_next/static/chunks/node_modules_1w8b1ur._.js → 304 (9ms, 2119B)
[2026-08-16T05:21:44.489Z] GET http://localhost:3000/_next/static/chunks/src_0-xic6u._.js → 304 (7ms, 426047B)
[2026-08-16T05:21:44.494Z] GET http://localhost:3000/_next/static/chunks/node_modules_katex_dist_katex_mjs_1htj_sx._.js → 304 (2ms, 820092B)
[2026-08-16T05:21:44.494Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40anthropic-ai_sdk_0srqnh1._.js → 304 (4ms, 855992B)
[2026-08-16T05:21:44.494Z] GET http://localhost:3000/_next/static/chunks/node_modules_openai_1sbirqc._.js → 304 (3ms, 841605B)
[2026-08-16T05:21:44.495Z] GET http://localhost:3000/_next/static/chunks/node_modules_0dw0t8x._.js → 304 (3ms, 167445B)
[2026-08-16T05:22:35.096Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-16T05:22:58.917Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (468ms, ?B)
[2026-08-16T05:28:24.516Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (333ms, 7078B)
